Utility Characteristics,,,,,Reporting Year Incremental Annual Savings,,,,,,,,,,Incremental Life Cycle Savings,,,,,,,,,,Reporting Year Incremental Cost,,,,,,,,,,Incremental Life Cycle Costs,,,,,,,,,,Weighted Average Life,,,,
,,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,(Years),,,,
2016,1009,City of Austin - (MN),MN,MISO,"1,017","2,618",238,.,"3,873",0.3,0.4,0.4,.,1.1,"10,170","26,180","2,375",.,"38,725",0.3,0.4,0.4,.,1.1,99,237,19,.,355,32,76,62,.,170,99,237,19,.,355,32,76,62,.,170,10.000,10.000,10.000,.,
2016,1015,Austin Energy,TX,ERCO,"41,935","58,757","16,025",.,"1,16,717",23.3,15.2,4.1,.,42.6,"7,62,363","7,52,335","2,15,171",.,"17,29,869",23.3,15.2,4.1,.,42.6,"7,436","4,254",777,.,"12,467","2,486","1,881",453,.,"4,820","7,436","4,254",777,.,"12,467","2,486","1,881",453,.,"4,820",18.180,13.860,14.810,.,www.Austinenergy.com
2016,1050,City of Azusa,CA,CISO,447,"3,152",.,.,"3,599",0.0,0.6,.,.,0.6,"1,823","27,163",.,.,"28,986",0.0,0.6,.,.,0.6,76,554,.,.,630,8,137,.,.,145,310,"4,775",.,.,"5,085",33,"1,181",.,.,"1,214",4.080,8.620,.,.,
2016,1101,Bagley Public Utilities Comm,MN,MISO,11,9,318,.,338,0.0,0.0,0.0,.,0.0,181,156,"3,877",.,"4,214",0.0,0.0,0.8,.,0.8,1,1,26,.,28,1,1,1,.,3,1,1,26,.,28,1,1,1,.,3,16.150,18.000,12.200,.,
2016,1167,Baltimore Gas & Electric Co,MD,PJM,"95,692","1,77,672",.,.,"2,73,364",16.4,30.4,.,.,46.8,"12,00,031","23,19,002",.,.,"35,19,033",16.4,30.4,.,.,46.8,"32,787","34,589",.,.,"67,376","12,232","13,915",.,.,"26,147","32,787","34,589",.,.,"67,376","12,232","13,915",.,.,"26,147",12.541,13.052,.,.,http://webapp.psc.state.md.us/Intranet/home.cfm
2016,1176,City of Bandon - (OR),OR,BPAT,102,0,0,0,102,0.0,0.0,0.0,0.0,0.0,"2,782",0,0,0,"2,782",0.3,0.0,0.0,0.0,0.3,22,0,0,0,22,17,0,0,0,17,22,0,0,0,22,17,0,0,0,17,26.230,.,0.000,.,
2016,1233,City of Barnesville - (MN),MN,MISO,62,244,0,.,306,0.0,0.0,0.0,.,0.0,765,"2,836",0,.,"3,601",0.0,0.0,0.0,.,0.0,5,14,0,.,19,3,8,0,.,11,5,14,0,.,19,3,8,0,.,11,12.300,11.600,.,.,
2016,1251,Barron Electric Coop,WI,MISO,"1,524",14,"1,176",.,"2,714",0.2,0.0,0.0,.,0.2,"21,627",199,"13,658",.,"35,484",2.8,0.0,0.0,.,2.8,65,0,28,.,93,104,2,0,.,106,65,0,28,.,93,104,2,0,.,106,14.191,14.222,11.614,.,
2016,1273,"Bartlett Electric Coop, Inc",TX,ERCO,7,.,.,.,7,0.0,.,.,.,0.0,88,.,.,.,88,0.0,.,.,.,0.0,1,.,.,.,1,1,.,.,.,1,1,.,.,.,1,1,.,.,.,1,14.170,.,.,.,www.bartlettec.coop
2016,1366,City of Bay City - (MI),MI,MISO,"1,304","2,294",0,0,"3,598",0.1,3.0,0.0,0.0,3.1,"15,798","33,060",0,0,"48,858",1.0,4.3,0.0,0.0,5.3,143,141,0,0,284,114,135,0,0,249,143,141,0,0,284,114,135,0,0,249,12.120,14.410,0.000,0.000,www.baycitymi.org/288/Electric
2016,1367,"Bayfield Electric Coop, Inc",WI,MISO,286,113,.,.,399,0.0,0.0,.,.,0.0,"4,217","1,607",.,.,"5,824",0.0,0.0,.,.,0.0,32,3,.,.,35,0,0,.,.,0,32,3,.,.,35,0,0,.,.,0,15.000,14.000,.,.,
2016,1529,"Beltrami Electric Coop, Inc",MN,MISO,"2,763","1,328",0,0,"4,091",0.3,0.2,0.0,0.0,0.5,"22,598","15,192",0,0,"37,790",0.3,0.2,0.0,0.0,0.5,149,115,.,.,264,55,2,.,.,57,149,115,.,.,264,55,2,.,.,57,13.900,12.400,0.000,0.000,
2016,1573,City of Benson - (MN),MN,MISO,27,98,219,.,344,.,.,.,.,.,421,"1,196","2,661",.,"4,278",.,.,.,.,.,4,8,19,.,31,2,5,10,.,17,4,8,19,.,31,2,5,10,.,17,15.600,12.200,12.200,.,
2016,1579,PUD No 1 of Benton County,WA,BPAT,"3,205","2,313","3,033",.,"8,551",.,.,.,.,.,"38,460","24,996","36,396",.,"99,852",.,.,.,.,.,"1,153",630,210,.,"1,993",.,.,.,.,.,"1,153",630,210,.,"1,993",.,.,.,.,.,12.000,12.000,12.000,.,
2016,1601,City of Beresford,SD,SWPP,.,15,39,.,54,.,.,.,.,.,.,107,275,.,382,.,.,.,.,.,.,2,6,.,8,.,2,6,.,8,.,2,6,.,8,.,2,6,.,8,.,7.000,7.000,., 
2016,1613,Berkeley Electric Coop Inc,SC,SC,255,.,.,.,255,.,.,.,.,.,"4,294",.,.,.,"4,294",2.0,.,.,.,2.0,7,.,.,.,7,33,.,.,.,33,26,.,.,.,26,38,.,.,.,38,16.000,.,.,.,www.bec.coop
2016,1692,Big Rivers Electric Corp,KY,MISO,"4,128","2,554",0,.,"6,682",3.0,1.0,0.0,.,4.0,"48,298","32,180",.,.,"80,478",3.0,1.0,0.0,.,4.0,545,305,0,.,850,34,22,0,.,56,545,305,0,.,850,34,22,0,.,56,11.700,12.600,.,.,
2016,1723,"Big Bend Electric Coop, Inc",WA,BPAT,252,467,"2,249",0,"2,968",0.0,0.0,0.0,0.0,0.0,252,467,"2,249",0,"2,968",0.0,0.0,0.0,0.0,0.0,45,120,437,0,602,0,0,0,0,0,45,120,437,0,602,0,0,0,0,0,1.000,1.000,1.000,0.000,"Our reports are sent into BPA and compiled with other NW utilities.  The reporting year data is above.  The history is not accessible, nor is the weighted average life portfolio."
2016,1736,Blachly-Lane County Coop El Assn,OR,BPAT,304,.,.,.,304,.,.,.,.,.,"4,446",.,.,.,"4,446",0.6,.,.,.,0.6,66,.,.,.,66,30,.,.,.,30,66,.,.,.,66,30,.,.,.,30,14.390,.,.,.,
2016,1763,"Black River Electric Coop, Inc - (SC)",SC,SC,0,0,0,0,0,0.1,0.0,0.0,0.0,0.1,0,0,0,0,0,0.1,0.0,0.0,0.0,0.1,0,0,0,0,0,14,0,0,0,14,0,0,0,0,0,14,0,0,0,14,0.000,0.000,0.000,0.000,
2016,1869,City of Bloomfield - (IA),IA,AECI,110,164,.,.,274,0.1,0.1,.,.,0.2,"1,100","1,640",.,.,"2,740",0.1,0.1,.,.,0.2,4,10,.,.,14,.,.,.,.,.,4,10,.,.,14,.,.,.,.,.,10.000,5.000,.,.,
2016,1889,Blue Ridge Elec Member Corp - (NC),NC,DUK,51,.,.,.,51,0.5,.,.,.,0.5,357,.,.,.,357,0.5,.,.,.,0.5,7,.,.,.,7,0,.,.,.,0,10,.,.,.,10,0,.,.,.,0,7.000,.,.,.,
2016,2008,City of Boulder City - (NV),NV,WALC,236,.,.,.,236,0.0,.,.,.,0.0,"2,535",.,.,.,"2,535",0.0,.,.,.,0.0,28,.,.,.,28,17,.,.,.,17,28,.,.,.,28,17,.,.,.,17,15.000,.,.,.,
2016,2089,Bozrah Light & Power Company,CT,ISNE,11,27,0,0,38,0.0,0.0,0.0,0.0,0.0,120,351,0,0,471,0.0,0.0,0.0,0.0,0.0,13,8,0,0,21,15,8,0,0,23,13,8,0,0,21,15,8,0,0,23,10.600,13.000,0.000,0.000,
2016,2182,City of Breckenridge- (MN),MN,MISO,99,131,148,0,378,0.0,0.0,0.0,0.0,0.0,"1,217","1,607","1,813",0,"4,637",0.0,0.0,0.0,0.0,0.0,10,9,10,0,29,6,5,6,0,17,10,9,10,0,29,6,5,6,.,17,12.200,12.200,12.200,0.000,www.brightenergysolutions.com
2016,2285,City of Brookings - (SD),SD,WACM,210,765,"2,295",0,"3,270",0.0,0.1,0.3,0.0,0.4,"2,905","9,320","27,959",0,"40,184",0.0,0.1,0.3,0.0,0.4,22,40,119,0,181,13,22,67,0,102,22,40,119,0,181,13,22,67,0,102,13.800,12.200,12.200,0.000,
2016,2442,City of Bryan - (TX),TX,ERCO,325,"3,017",.,.,"3,342",0.1,1.0,.,.,1.1,"3,255","30,170",.,.,"33,425",0.6,8.0,.,.,8.6,70,223,.,.,293,52,21,.,.,73,70,223,.,.,293,52,21,.,.,73,10.000,10.000,.,.,
2016,2507,City of Burbank Water and Power,CA,LDWP,"6,252","6,473",.,.,"12,725",0.5,2.7,.,.,3.2,"23,758","74,368",.,.,"98,126",0.5,2.7,.,.,3.2,"1,091","1,942",.,.,"3,033",573,899,.,.,"1,472","1,091","1,942",.,.,"3,033",573,899,.,.,"1,472",3.800,11.500,.,.,
2016,2548,City of Burlington Electric - (VT),VT,ISNE,"2,028","4,074",0,0,"6,102",0.1,0.4,0.0,0.0,0.5,"32,682","39,361",0,0,"72,043",2.1,4.0,0.0,0.0,6.1,475,893,0,0,"1,368",322,573,0,0,895,475,893,0,0,"1,368",322,573,0,0,895,16.000,10.000,0.000,0.000,www.burlingtonelectric.com
2016,2599,Burt County Public Power Dist,NE,SWPP,22,0,0,.,22,0.0,0.0,0.0,.,0.0,433,0,0,.,433,0.0,0.0,0.0,.,0.0,4,0,0,.,4,3,3,2,.,8,4,0,0,.,4,3,3,2,.,8,20.000,0.000,0.000,.,
2016,2643,Butler Public Power District - (NE),NE,SWPP,135,129,26,.,290,0.0,0.0,0.0,.,0.0,"2,754","1,634",305,.,"4,693",0.0,0.0,0.0,.,0.0,15,10,3,.,28,4,4,3,.,11,15,10,3,.,28,4,4,3,.,11,20.000,13.000,12.000,.,
2016,2655,"Butte Electric Coop, Inc",SD,SWPP,1,.,.,.,1,0.3,.,.,.,0.3,10,.,.,.,10,0.3,.,.,.,0.3,5,.,.,.,5,8,.,.,.,8,12,.,.,.,12,18,.,.,.,18,10.000,.,.,.,
2016,2955,Canby Utility Board,OR,PGE,534,169,125,0,828,0.0,0.0,0.0,0.0,0.0,"5,366","2,031","1,253",0,"8,650",0.3,0.0,0.0,0.0,0.3,96,38,22,0,156,17,5,4,0,26,96,38,22,0,156,17,5,4,0,26,11.180,12.000,10.000,0.000,www.efficiencyservicesgroup.com 
2016,3046,Duke Energy Progress - (NC),NC,CPLE,"2,58,808","1,23,184",.,.,"3,81,992",53.0,20.0,.,.,73.0,"21,49,941","15,65,715",.,.,"37,15,656",53.0,20.0,.,.,73.0,"24,006","17,015",.,.,"41,021","15,017","2,928",.,.,"17,945","24,006","17,015",.,.,"41,021","15,017","2,928",.,.,"17,945",13.000,12.000,.,.,
2016,3046,Duke Energy Progress - (NC),SC,CPLE,"45,136","21,483",.,.,"66,619",9.0,3.0,.,.,12.0,"3,75,424","2,72,566",.,.,"6,47,990",9.0,3.0,.,.,12.0,"4,187","2,967",.,.,"7,154","2,619",511,.,.,"3,130","4,187","2,967",.,.,"7,154","2,619",511,.,.,"3,130",13.000,12.000,.,.,
2016,3107,Carteret-Craven El Member Corp,NC,CPLE,32,390,.,.,422,.,.,.,.,.,569,"5,850",.,.,"6,419",.,.,.,.,.,5,22,.,.,27,0,.,.,.,0,5,22,.,.,27,0,.,.,.,0,13.851,15.000,.,.,http://www.greencosolutions.net/
2016,3203,Cedar Falls Utilities,IA,MISO,"1,815","1,644",84,.,"3,543",0.7,0.3,0.0,.,1.0,"22,327","24,550","1,114",.,"47,991",0.3,0.2,0.0,.,0.5,342,257,7,.,606,146,87,2,.,235,342,257,7,.,606,146,87,2,.,236,12.300,14.930,13.200,0.000,www.cfu.net/save-energy
2016,3205,Cedar-Knox Public Power Dist,NE,SWPP,"2,855",937,0,0,"3,792",.,.,.,.,.,"2,855",937,0,0,"3,792",.,.,.,.,.,7,7,5,0,19,.,.,.,.,.,7,7,5,0,19,.,.,.,.,.,1.000,1.000,0.000,0.000,
2016,3240,Central Electric Coop Inc - (OR),OR,BPAT,"3,058",235,120,.,"3,413",.,.,.,.,.,"33,640","2,581","1,323",.,"37,544",.,.,.,.,.,517,42,15,.,574,7,.,.,.,7,517,42,15,.,574,7,.,.,.,7,11.000,11.000,11.000,.,
2016,3245,"Central Florida Elec Coop, Inc",FL,SEC,260,0,0,0,260,0.1,0.0,0.0,0.0,0.1,534,0,0,0,534,0.1,0.0,0.0,0.0,0.1,5,0,0,0,5,3,0,0,0,3,5,0,0,0,5,3,0,0,0,3,2.051,0.000,0.000,0.000,
2016,3248,Central Georgia El Member Corp,GA,SOCO,130,.,.,.,130,0.1,.,.,.,0.1,"1,726",.,.,.,"1,726",0.3,.,.,.,0.3,8,.,.,.,8,14,.,.,.,14,8,.,.,.,8,14,.,.,.,14,8.590,.,.,.,
2016,3249,Central Hudson Gas & Elec Corp,NY,NYIS,"35,458","15,818",.,.,"51,276",1.4,2.1,.,.,3.5,"10,58,767","2,37,273",.,.,"12,96,040",1.4,2.1,.,.,3.5,"1,319","3,134",.,.,"4,453","1,797",407,.,.,"2,204","1,319","3,143",.,.,"4,462","1,797",407,.,.,"2,204",29.860,15.000,.,.,www.cenhud.com
2016,3258,Central Iowa Power Cooperative,IA,MISO,"7,361","4,889",671,.,"12,921",1.5,0.5,0.1,.,2.1,"73,155","78,547","8,182",.,"1,59,884",1.5,0.5,0.1,.,2.1,"2,110",724,5,.,"2,839",739,254,2,.,995,"2,110",724,5,.,"2,839",739,254,2,.,995,9.900,16.100,12.200,.,"Energy Efficiency Impacts are provided for entire CIPCO systems including the following member cooperatives:    Clarke Electric Coop Inc Consumers Energy East-Central Iowa Rural Elec Coop Eastern Iowa Light & Power Coop Farmers Electric Coop, Inc Guthrie County Rural E C A Linn County Rural E C A Maquoketa Valley Rrl Elec Coop Midland Power Coop Pella Cooperative Elec Assn Southwest Iowa Rural Elec Coop T I P Rural Electric Coop "
2016,3264,Central Lincoln People's Ut Dt,OR,BPAT,"2,538","1,051",98,.,"3,687",.,.,.,.,.,"34,644","10,510",980,.,"46,134",.,.,.,.,.,113,98,15,.,226,.,.,.,.,.,113,98,15,.,226,.,.,.,.,.,13.650,10.000,10.000,.,
2016,3278,AEP Texas Central Company,TX,ERCO,"31,589","36,016",0,0,"67,605",12.0,27.0,0.0,0.0,39.0,"5,18,499","5,16,640",0,0,"10,35,139",12.0,27.0,0.0,0.0,39.0,"6,704","5,302",0,0,"12,006",947,508,0,0,"1,455","6,704","5,302",0,0,"12,006",947,508,0,0,"1,455",16.000,14.000,0.000,0.000,
2016,3287,"Central Valley Elec Coop, Inc",NM,SWPP,149,5,70,0,224,0.0,0.0,0.1,0.0,0.1,872,49,628,0,"1,549",0.3,0.0,0.6,0.0,0.9,1,1,23,0,25,83,0,0,0,83,1,1,23,0,25,83,0,0,0,83,5.850,9.000,9.000,0.000,www.cvecoop.org
2016,3295,City of Centralia - (WA),WA,BPAT,.,497,280,.,777,.,0.1,0.0,.,0.1,.,"5,961","5,605",.,"11,566",.,0.7,0.6,.,1.3,.,41,43,.,84,.,10,10,.,20,.,41,43,.,84,.,10,10,.,20,.,12.000,20.000,.,
2016,3400,City of Chaska - (MN),MN,MISO,385,"1,692","1,799",.,"3,876",0.4,0.4,0.2,.,1.0,"3,848","16,915","17,989",.,"38,752",0.4,0.4,0.2,.,1.0,67,211,133,.,411,15,59,59,.,133,67,211,133,.,411,15,59,59,.,133,10.000,10.000,10.000,.,
2016,3413,PUD No 1 of Chelan County,WA,CHPD,"2,401","10,373","4,512",.,"17,286",1.1,2.4,0.9,.,4.4,"47,670","1,34,353","67,683",.,"2,49,706",1.1,2.4,0.9,.,4.4,765,"1,574",658,.,"2,997",171,144,9,.,324,765,"1,574",658,.,"2,997",171,144,9,.,323,19.857,12.952,15.000,.,
2016,3420,City of Cheney - (WA),WA,AVA,51,551,510,0,"1,112",0.0,0.0,0.0,0.0,0.0,"1,876","6,612","6,116",0,"14,604",.,.,.,.,.,13,99,72,0,184,.,.,.,.,.,13,99,72,0,184,.,.,.,.,.,36.690,12.000,12.000,0.000,
2016,3461,Cheyenne Light Fuel & Power d/b/a Black Hills Energy,WY,WACM,932,"2,299",.,.,"3,231",0.6,0.3,.,.,0.9,"13,980","34,485",.,.,"48,465",0.6,0.3,.,.,0.9,65,412,.,.,477,166,98,.,.,264,65,412,.,.,477,166,98,.,.,264,15.000,15.000,.,.,
2016,3477,City of Chicopee - (MA),MA,ISNE,64,543,893,.,"1,500",0.0,0.2,0.1,.,0.3,640,"8,145","13,395",.,"22,180",0.0,3.0,1.5,.,4.5,59,107,168,.,334,34,24,38,.,96,59,107,168,.,334,34,24,38,.,96,10.000,15.000,15.000,.,
2016,3498,Chippewa Valley Electric Coop,WI,MISO,"1,243",619,0,0,"1,862",0.1,0.1,0.0,0.0,0.2,"16,880","8,959",0,0,"25,839",1.4,1.4,0.0,0.0,2.8,46,24,0,0,70,44,3,0,0,47,46,24,0,0,70,44,3,0,0,47,14.000,14.000,0.000,0.000,
2016,3542,Duke Energy Ohio Inc,OH,PJM,"1,15,147","1,80,191",.,.,"2,95,338",32.4,28.7,.,.,61.1,"9,37,274","17,74,059",.,.,"27,11,333",32.4,28.7,.,.,61.1,"4,095","24,210",.,.,"28,305","5,167","7,371",.,.,"12,538","4,095","24,210",.,.,"28,305","5,167","7,371",.,.,"12,538",11.900,12.300,.,.,
2016,3644,PUD No 1 of Clallam County,WA,BPAT,"3,302","1,294",0,.,"4,596",0.0,0.0,0.0,.,0.0,"53,550","15,855",0,.,"69,405",0.0,0.0,0.0,.,0.0,597,215,0,.,812,454,100,8,.,562,597,215,0,.,812,454,100,8,.,562,16.220,12.250,30.000,0.000,http://www.commerce.wa.gov/growing-the-economy/energy/energy-independenc-act/eia-reporting/
2016,3660,PUD No 1 of Clark County - (WA),WA,BPAT,"26,009","11,498","6,705",0,"44,212",6.1,2.7,1.6,0.0,10.4,"3,64,126","1,26,478","73,755",0,"5,64,359",6.1,2.7,1.6,0.0,10.4,"3,899","1,609","1,437",0,"6,945",780,322,288,0,"1,390","3,899","1,609","1,437",0,"6,945",780,322,288,0,"1,390",14.000,11.000,11.000,0.000,http://www.commerce.wa.gov/growing-the-economy/energy/energy-efficiency-and-solar-grants/
2016,3701,Clark Electric Coop - (WI),WI,MISO,"1,341",182,.,.,"1,523",0.2,.,.,.,0.2,"19,121","2,564",.,.,"21,685",2.9,.,.,.,2.9,83,5,.,.,88,4,.,.,.,4,83,5,.,.,88,4,.,.,.,4,14.259,28.302,.,.,
2016,3739,Clearwater Power Company,ID,BPAT,309,18,.,.,327,.,.,.,.,.,"7,879",466,.,.,"8,345",.,.,.,.,.,62,16,.,.,78,36,2,.,.,38,62,16,.,.,78,36,2,.,.,38,25.500,14.100,.,.,
2016,3739,Clearwater Power Company,WA,BPAT,34,.,.,.,34,.,.,.,.,.,867,.,.,.,867,.,.,.,.,.,8,.,.,.,8,3,.,.,.,3,8,.,.,.,8,3,.,.,.,3,25.500,.,.,.,
2016,3755,Cleveland Electric Illum Co,OH,PJM,"40,647","21,525","6,074",0,"68,246",10.0,4.1,0.6,0.0,14.7,"4,27,268","2,58,173","53,843",0,"7,39,284",10.0,4.1,0.6,0.0,14.7,"1,965",9,0,0,"1,974",37,0,145,0,182,"1,965",9,0,0,"1,974",37,0,145,0,182,10.512,11.994,8.864,0.000,http://dis.puc.state.oh.us/CaseRecord.aspx?CaseNo=17-1226&x=0&y=0
2016,3757,"Clay Electric Cooperative, Inc",FL,SEC,"1,459",.,.,.,"1,459",0.2,.,.,.,0.2,"21,717",.,.,.,"21,717",0.2,.,.,.,0.2,181,.,.,.,181,152,.,.,.,152,181,.,.,.,181,152,.,.,.,152,14.890,.,.,.,
2016,3764,Clearwater-Polk Elec Coop Inc,MN,MISO,310,319,.,.,629,.,.,.,.,.,"4,541","3,257",.,.,"7,798",.,.,.,.,.,32,11,.,.,43,10,2,.,.,12,32,11,.,.,43,10,2,.,.,12,14.720,10.330,.,.,
